date,close
2026-01-22,1402.5
2026-01-23,1386.0999755859375
2026-01-27,1380.5
2026-01-28,1396.699951171875
2026-01-29,1391.0
2026-01-30,1395.4000244140625
2026-02-02,1390.4000244140625
2026-02-03,1437.0999755859375
2026-02-04,1456.800048828125
2026-02-05,1443.4000244140625
2026-02-06,1450.800048828125
2026-02-09,1461.5999755859375
2026-02-10,1458.5
2026-02-11,1468.699951171875
2026-02-12,1448.9000244140625
2026-02-13,1419.5999755859375
2026-02-16,1437.0999755859375
2026-02-17,1423.0
2026-02-18,1441.300048828125
2026-02-19,1409.5
2026-02-20,1419.4000244140625
2026-02-23,1428.0
2026-02-24,1428.800048828125
2026-02-25,1398.5
2026-02-26,1406.800048828125
2026-02-27,1393.9000244140625
2026-03-02,1358.0
2026-03-04,1345.0
2026-03-05,1389.4000244140625
2026-03-06,1404.800048828125
2026-03-09,1424.0
2026-03-10,1408.800048828125
2026-03-11,1390.199951171875
2026-03-12,1392.199951171875
2026-03-13,1380.699951171875
2026-03-16,1395.0999755859375
2026-03-17,1397.5999755859375
2026-03-18,1408.0999755859375
2026-03-19,1384.800048828125
2026-03-20,1414.4000244140625
2026-03-23,1407.800048828125
2026-03-24,1411.800048828125
2026-03-25,1413.0999755859375
2026-03-27,1348.0999755859375
2026-03-30,1343.9000244140625
2026-04-01,1369.199951171875
2026-04-02,1350.5
2026-04-06,1304.699951171875
2026-04-07,1304.5999755859375
2026-04-08,1347.800048828125
2026-04-09,1330.0
2026-04-10,1350.199951171875
2026-04-13,1315.0999755859375
2026-04-15,1344.0999755859375
2026-04-16,1343.300048828125
2026-04-17,1365.0
2026-04-20,1363.300048828125
2026-04-21,1353.300048828125
2026-04-22,1362.0999755859375
2026-04-23,1343.4000244140625
2026-04-24,1327.800048828125
2026-04-27,1365.800048828125
2026-04-28,1388.9000244140625
2026-04-29,1425.4000244140625
2026-04-30,1430.800048828125
2026-05-01,1430.800048828125
2026-05-04,1463.0999755859375
2026-05-05,1463.5999755859375
2026-05-06,1437.9000244140625
2026-05-07,1436.199951171875
2026-05-08,1435.199951171875
